ev,Elem,Vegyjel,Rendszam,Felfedezo,Atomtomeg,Negativitas
1766,HidrogEn,H,1,Henry Cavendish,1.007,0.79
1868,HElium,He,2,P.J.C.Jansen 1869 J.N.Locker,4.002,0.49
1817,Lítium,Li,3,J. A. Arvedson,6.941,2.1
1797,Berillium,Be,4,L. N. Vaquelin,9.012,1.4
1808,Bor,B,5,J. L. Gay-Lusac Es ThEnard,10.811,1.2
okor,SzEn,C,6,Ismeretlen,12.011,0.91
1772,NitrogEn,N,7,D. Rutherford,14.007,0.75
1774,OxigEn,O,8,J. Priestley,15.999,0.65
1886,Fluor,F,9,H. Moissan,18.998,0.57
1898,Neon,Ne,10,W.Ramsay Es M.W.Travers,20.18,0.51
1807,Natrium,Na,11,H. Davy,22.99,2.2
1808,MagnEzium,Mg,12,H. Davy,24.305,1.7
1825,Alumínium,Al,13,H. C. Oersted,26.982,1.8
1823,Szilícium,Si,14,J. J. Berzelius 1811 Gay-Lusac,28.086,1.5
1669,Foszfor,P,15,H. Brand,30.974,1.2
okor,KEn,S,16,Ismeretlen,32.065,1.1
1774,Klor,Cl,17,C. W. Scheele,35.453,0.97
1807,Kalium,K,19,H. Davy,39.098,2.8
1894,Argon,Ar,18,W.Ramsay Es J.W.S.Rayleigh,39.948,0.88
1808,Kalcium,Ca,20,H. Davy,40.078,2.2
1879,Szkandium,Sc,21,L. F. Nilson,44.956,2.1
1791,Titan,Ti,22,W. Gregor (oxid),47.867,2
1831,Vanadium,V,23,N. G. Sefstr0m,50.942,1.9
1797,Krom,Cr,24,L. N. Vaquelin,51.996,1.9
1774,Mangan,Mn,25,J. G. Gahn,54.938,1.8
okor,Vas,Fe,26,Ismeretlen,55.845,1.7
1751,Nikkel,Ni,28,A. F. Cronstedt,58.693,1.6
1735,Kobalt,Co,27,G. Brandt,58.933,1.7
okor,REz,Cu,29,Ismeretlen,63.546,1.6
1520,Cink,Zn,30,Paracelsus,65.38,1.5
1875,Gallium,Ga,31,L. de Boisbaudran,69.723,1.8
1886,Germanium,Ge,32,C. Winkler,72.64,1.5
1250,ArzEn,As,33,Albertus Magnus,74.922,1.3
1817,SzelEn,Se,34,J. J. Berzelius,78.96,1.2
1826,Brom,Br,35,A. J. Balard,79.904,1.1
1898,Kripton,Kr,36,W.Ramsay Es M.W.Travers,83.798,1
1861,Rubídium,Rb,37,R. W. Bunsen Es G. R. Kirchoff,85.468,3
1790,Stroncium,Sr,38,A. Crawford,87.62,2.5
1794,Ittrium,Y,39,J. Gadolin (oxid),88.906,2.3
1791,Cirkonium,Zr,40,M. H. Klaproth (oxid),91.224,2.2
1801,Niobium,Nb,41,C. Hatchett,92.906,2.1
1782,MolibdEn,Mo,42,P. J. Hjelm,95.96,2
1937,TechnEcium,Tc,43,E. Segre Es G. Perrier,98,2
1844,RutEnium,Ru,44,C. Claus,101.07,1.9
1803,Rodium,Rh,45,W. H. Wollaston,102.906,1.8
1803,Palladium,Pd,46,W. H. Wollaston,106.42,1.8
okor,Ezüst,Ag,47,Ismeretlen,107.868,1.8
1817,Kadmium,Cd,48,F.Stromeyer,112.411,1.7
1863,Indium,In,49,F. Reich Es T. Richter,114.818,2
okor,on,Sn,50,Ismeretlen,118.71,1.7
1450,Antimon,Sb,51,B. Valentinius (W. Tolde),121.76,1.5
1811,Jod,I,53,B. Curtois,126.904,1.3
1782,Tellur,Te,52,F.J. Müller,127.6,1.4
1898,Xenon,Xe,54,W.Ramsay Es M.W.Travers,131.293,1.2
1860,CEzium,Cs,55,R. W. Bunsen Es G. R. Kirchoff,132.905,3.3
1808,Barium,Ba,56,H. Davy,137.327,2.8
1839,Lantan,La,57,C. G. Mosander,138.905,2.7
1803,CErium,Ce,58,M. H. Klaproth (oxid),140.116,2.7
1885,Prazeodímium,Pr,59,G. Auer von Welsbach,140.908,2.7
1885,Neodímium,Nd,60,G. Auer von Welsbach,144.242,2.6
1945,PromEtium,Pm,61,I.A.Marinski Es L.E.Glendenin,145,2.6
1879,Szamarium,Sm,62,L. de Boisbaudran,150.36,2.6
1889,Europium,Eu,63,W. Crookes,151.964,2.6
1880,Gadolínium,Gd,64,J. Ch. G. de Marignac,157.25,2.5
1843,Terbium,Tb,65,C. G. Mosander,158.925,2.5
1886,Diszprozium,Dy,66,L. de Boisbaudran,162.5,2.5
1879,Holmium,Ho,67,P. T. Cleve,164.93,2.5
1843,Erbium,Er,68,C. G. Mosander,167.259,2.5
1879,Tulium,Tu,69,P. T. Cleve,168.934,
1878,Itterbium,Yb,70,J. Ch. G. de Marignac,173.054,2.4
1907,LutEcium,Lu,71,G. Urbain,174.967,2.3
1923,Hafnium,Hf,72,Dirk Coster Es Hevesy Gyorgy,178.49,2.2
1802,Tantal,Ta,73,A. G. Ekeberg,180.948,2.1
1783,Volfram,W,74,J. J. Es F. d'Elhuyar,183.84,2
1925,REnium,Re,75,W. Es Ida Noddack,186.207,2
1804,Ozmium,Os,76,S. Tennant,190.23,1.9
1804,Irídium,Ir,77,S. Tennant,192.217,1.9
1741,Platina,Pt,78,Ch. Wood,195.084,1.8
okor,Arany,Au,79,Ismeretlen,196.967,1.8
okor,Higany,Hg,80,Ismeretlen,200.59,1.8
1861,Tallium,Tl,81,W. Crookes,204.383,2.1
okor,olom,Pb,82,Ismeretlen,207.2,1.8
1740,Bizmut,Bi,83,I.H. Pott,208.98,1.6
1898,Polonium,Po,84,Pierre Es Marie Curie,210,1.5
1940,Asztacium,At,85,"D.R. Corson, McKenzie Es E.Segre",210,1.4
1900,Radon,Rn,86,F. E. Dorn,222,1.3
1939,Francium,Fr,87,Margueritte Perey,223,-
1898,Radium,Ra,88,Pierre Es Marie Curie,226,-
1899,Aktínium,Ac,89,A. Debierne,227,-
1917,Protaktínium,Pa,91,O. Hahn Es L. Meitner,231.036,-
1828,Torium,Th,90,J. J. Berzelius,232.038,-
1940,Neptunium,Np,93,McMillan Es O. Abelson,237,-
1789,Uran,U,92,M. H. Klaproth (oxid),238.029,-
1944,Amerícium,Am,95,"G.T.Seaborg, R.A.James, A.Ghiorso Es L.O.Morgan",243,-
1940,Plutonium,Pu,94,G.T.Seaborg Es McMillan,244,-
1944,Kurium,Cm,96,"G.T.Seaborg, R.A.James Es A.Ghiorso",247,-
1949,BerkElium,Bk,97,"G.T.Seaborg, G.G.Thompson Es A.Ghiorso",247,-
1952,Einsteinium,Es,99,"A.Ghiorso, G.T.Seaborg, G.G.Thompson, G.H.Higgins, s.m.",252,-
1953,Fermium,Fm,100,"A.Ghiorso, G.T.Seaborg, G.G.Thompson, G.H.Higgins Es m.",257,-
1955,MendelEvium,Md,101,"A.Ghiorso, G.T.Seaborg, B.G.Harvey Es m.",258,-
1958,NobElium,No,102,"A.Ghiorso, G.T.Seaborg, T.Sikkeland Es m.",259,-
1966,Radzerfordium,Rf,104,C.N.Flerov ?,261,-
1961,Laurencium,Lr,103,"A.Ghiorso, T.Sikkeland, R.E.Larsh Es R.T.Latimer",262,-
1967,Dubnium,Db,105,Dubna,262,-
1976,Borium,Bh,107,"Y. Oganessian, Dubna",264,-
1974,Sziborgium,Sg,106,"University of California, Berkeley",266,-
1984,Hasszium,Hs,108,Peter Armbruster Es Gottfried Münzenberg,267,-
1982,Meitnerium,Mt,109,"Peter Armbruster Es Gottfried Münzenberg, GSI",268,-
1994,Darmstadtium,Ds,110,"S. Hofmann, V. Ninov Es masok, a GSI-tol",271,-
1994,Rontgenium,Rg,111,"S. Hofmann, V. Ninov Es masok, a GSI-tol",272,-
2004,Nihonium,Nh,113,"Egyesített Atomkutato IntEzet, Dubna Es Lawrence Livermore National Laboratory",284,-
1996,Kopernícium,Cn,112,"S. Hofmann, V. Ninov Es masok, a GSI-tol",285,-
2004,Moszkovium,Mc,115,"Egyesített Atomkutato IntEzet, Dubna Es Lawrence Livermore National Laboratory",288,-
1999,Flerovium,Fl,114,"Egyesített Atomkutato IntEzet, Dubna",289,-
2001,Livermorium,Lv,116,"Egyesített Atomkutato IntEzet, Dubna",292,-
2006,Oganesszon,Og,118,"Egyesített Atomkutato IntEzet, Dubna Es Lawrence Livermore National Laboratory",294,-
2010,Tennesszin,Ts,117,-,295,-
